ID Abogado,Nombre,Edad,Rama Legal,Género,Años de Experiencia,Especialización,Contacto,Email,Estado
1,Roberto Mínguez,33,Penal,Masculino,3,Narcotráfico,+34874814990,pcorral@example.net,En licencia
2,Rebeca Cortina,30,Penal,Femenino,9,Violencia de género,+34885 92 60 39,cirino79@example.com,Activo
3,Lorenzo Puga,38,Penal,Masculino,7,Fraude,+34740 561 790,jose60@example.org,En licencia
4,Cirino Ayala,37,Penal,Masculino,17,Violencia de género,+34 920 215 274,bautista22@example.net,Activo
5,África Azorin,25,Civil,Femenino,2,Sucesiones y herencias,+34 844557864,xlloret@example.com,Inactivo
6,Juan Bautista Carranza,34,Civil,Masculino,6,Reclamación por deuda,+34 822 43 87 77,julietahernando@example.org,Activo
7,Amando Báez,31,Civil,Masculino,5,Reclamación por deuda,+34820916574,abadhernando@example.org,En licencia
8,Efraín Múgica,27,Civil,Masculino,7,Arrendamientos,+34 922 28 42 99,tnavarrete@example.net,Activo
9,Macaria Gomis,49,Civil,Otro,5,Arrendamientos,+34901 184 653,mirallescamila@example.org,Inactivo
10,Montserrat Ibarra,70,Laboral,Femenino,4,Despido injustificado,+34828565349,jose57@example.com,En licencia
11,Desiderio Feijoo,43,Laboral,Masculino,2,Acoso laboral,+34 734 14 18 09,guillermo83@example.net,Activo
12,Aníbal Barriga,54,Laboral,Masculino,23,Acoso laboral,+34 807 64 45 64,estradaaureliano@example.com,Inactivo
13,Ibán Vega,67,Laboral,Masculino,17,Accidente de trabajo,+34 828 629 034,facevedo@example.com,En licencia
14,Clementina Godoy,35,Mercantil,Femenino,17,Registro de marca,+34843 112 981,xavier14@example.net,Activo
15,Javi Ferrán,49,Mercantil,Masculino,17,Registro de marca,+34649349622,vivianarivas@example.com,En licencia
16,Francisca Leon,28,Administrativo,Femenino,3,Sanción administrativa,+34 880 019 469,noealemany@example.org,Inactivo
17,Severino Alemany,29,Administrativo,Masculino,3,Responsabilidad patrimonial del Estado,+34981 58 06 93,imaldonado@example.net,En licencia
18,Tiburcio Beltran,66,Administrativo,Masculino,31,Multas municipales,+34 885 24 62 35,fernando35@example.com,En licencia
19,Juan Prieto,33,Constitucional,Masculino,7,Conflicto de competencias,+34 985 44 08 31,fbastida@example.com,En licencia
20,Lola Portero,62,Constitucional,Femenino,27,Habeas corpus,+34820 530 328,joeljorda@example.org,Inactivo
21,Cristian Fuente,33,Constitucional,Masculino,15,Acción de amparo,+34974 36 14 43,placidolopez@example.org,Activo
22,Jovita Torrecilla,34,Constitucional,Femenino,5,Conflicto de competencias,+34984 98 15 09,ftapia@example.com,Inactivo
23,Manola Fortuny,49,Constitucional,Femenino,24,Habeas corpus,+34 880921983,natalio43@example.com,Inactivo
24,Rogelio Correa,25,Internacional Público,Otro,1,Conflictos fronterizos,+34 848 39 61 52,conchaasenjo@example.net,En licencia
25,Jimena Franco,66,Internacional Público,Femenino,21,Litigio entre Estados,+34867317289,julie97@example.com,Inactivo
26,Román Valle,54,Internacional Público,Masculino,0,Conflictos fronterizos,+34748277900,danguita@example.org,En licencia
27,Atilio Cases,57,Internacional Público,Masculino,11,Refugiados y asilo,+34 975 806 334,rebeca91@example.com,Activo
