ID Caso,Fecha,Participante,Rol
1,2023-11-23,Azucena Pavón Rodriguez,Cliente
2,2024-01-13,Blas Azorin Lopez,Cliente
3,2021-10-11,Valeria Robledo Sedano,Abogado
4,2023-03-26,Segismundo Calzada Artigas,Abogado
5,2023-04-05,Eva Macías Tena,Cliente
6,2023-05-30,Griselda Nélida Mesa Coll,Testigo
7,2022-09-05,Baltasar Vilalta,Cliente
8,2021-10-03,Calixta Jaén Ferrer,Testigo
9,2022-03-10,Josué Alemán-Amador,Cliente
10,2022-07-23,Roberto de Vila,Abogado
11,2023-06-13,Bernabé Julio César Figueras Montenegro,Abogado
12,2024-08-10,Ruth Torrents Gisbert,Cliente
13,2025-01-30,Ariel Giménez Garmendia,Cliente
14,2024-09-13,Dora Hidalgo-Elías,Abogado
15,2020-07-11,Hortensia Escalona Moles,Abogado
16,2024-09-04,René Baquero Escribano,Abogado
17,2024-08-20,Esther Castillo,Testigo
18,2021-12-25,Rocío Celestina Neira Ballesteros,Testigo
19,2023-12-24,Amaro Arribas-Pedrero,Testigo
20,2022-12-28,Eva María Madrid Tejera,Testigo
21,2024-04-21,Teobaldo Roberto Pareja Sandoval,Testigo
22,2023-06-12,Toribio Gonzalo-Valdés,Cliente
23,2022-10-09,Anabel Pascual Boix,Testigo
24,2023-05-24,Ana Belén Ojeda-Moya,Cliente
25,2023-08-19,Leandro Santiago Guillen,Cliente
26,2022-05-29,Hernando Martorell Martinez,Cliente
27,2023-12-14,Dionisia Perez Grande,Abogado
28,2022-10-09,Caridad Gibert-Paz,Testigo
29,2023-01-03,Ofelia Luisina Martinez Arias,Abogado
30,2022-11-09,Claudio Carrasco Cano,Abogado
31,2024-02-24,Filomena Arnal Camacho,Cliente
32,2024-02-20,Flavia Ferreras Arjona,Abogado
33,2024-05-07,León Zapata Barragán,Testigo
34,2021-07-12,Agustina Alba Losada Carretero,Abogado
35,2024-02-14,Roberta Murcia Ayala,Cliente
36,2025-01-09,Camilo Buendía Rosell,Abogado
37,2023-05-18,Isaías Alcalde-Sola,Abogado
38,2021-02-16,Herminia Cerro Solé,Cliente
39,2021-06-16,Daniela Adelina Mármol Torrents,Testigo
40,2023-08-15,Alcides Estévez Vilanova,Abogado
41,2022-09-06,Ceferino Canet Mir,Testigo
42,2023-06-15,Cesar Calvet Cuesta,Cliente
43,2023-06-11,Haroldo Botella Peiró,Cliente
44,2022-08-25,Eligia Gordillo Montoya,Abogado
45,2024-01-28,Francisco Javier Mancebo Villa,Testigo
46,2022-07-15,Íñigo Urrutia Guzman,Testigo
47,2023-03-13,Encarna Morillo Aranda,Abogado
48,2020-11-20,Felicidad Cabanillas Nicolau,Abogado
49,2024-04-14,Bernardo Madrigal-Romero,Testigo
50,2023-01-06,Pepito Caro Codina,Cliente
51,2024-08-12,Ágata Bienvenida Rosell Pinto,Testigo
52,2023-04-29,Quirino Iborra-Bárcena,Cliente
53,2022-02-03,Cintia Leal Parejo,Testigo
54,2022-04-14,Celestino Cañellas Mir,Cliente
55,2024-04-12,Vera Andrade Alcalá,Abogado
56,2022-07-28,Ruben Cabrero-Cabañas,Testigo
57,2023-11-19,Fernando del Roselló,Cliente
58,2024-03-02,Lucio Acuña Coello,Cliente
59,2024-08-22,Itziar del Querol,Abogado
60,2021-04-16,Ruben Landa Amaya,Abogado
61,2024-09-28,Antonio Pizarro,Abogado
62,2023-01-28,Faustino del Aguilar,Abogado
63,2024-01-20,Maximino Arroyo,Abogado
64,2023-09-15,Nydia Cases-Gaya,Testigo
65,2024-04-12,Emma Conde,Abogado
66,2023-05-11,Severino Pinto Olivares,Testigo
67,2024-09-16,Jose Carlos del Marí,Abogado
68,2023-08-09,Roque Graciano Abella Bertrán,Testigo
69,2021-05-21,Íñigo Aguilar Garrido,Cliente
70,2022-10-01,Sol Portillo-Cánovas,Cliente
71,2024-02-04,Alexandra Cordero-Lopez,Cliente
72,2022-10-10,Juliana Cuéllar Diéguez,Abogado
73,2023-05-17,Toño Zaragoza León,Abogado
74,2022-01-16,Flor Ferreras Ramos,Testigo
75,2023-09-12,Adolfo Alba Perez,Cliente
76,2023-05-17,Armando Morillo-Aranda,Testigo
77,2022-07-09,Graciela Cortés Azcona,Cliente
78,2024-07-12,Edgardo Moles,Cliente
79,2023-06-23,Leopoldo Bernat Pinilla,Testigo
80,2021-12-26,Vidal Rosario Céspedes Girona,Testigo
81,2023-04-10,Rosalina Alcolea Girona,Cliente
82,2023-01-20,Edu Artigas Montesinos,Testigo
83,2023-03-30,Olimpia del Palau,Abogado
84,2024-06-25,Jordán Revilla-Tejada,Abogado
85,2024-02-15,Eusebia Benitez,Abogado
86,2023-01-06,Bernardita Casal Prado,Cliente
87,2021-12-13,Herminio Tomás Plana,Cliente
88,2023-12-28,David Sancho Pedrero Marí,Testigo
89,2024-08-09,María Belén Caparrós-Nieto,Cliente
90,2022-12-25,Almudena Jiménez-Riquelme,Cliente
91,2024-03-21,Tomasa Galvez,Testigo
92,2023-05-21,Gregorio Roldán Carrasco,Cliente
93,2021-07-05,Ezequiel Rosales González,Cliente
94,2024-05-12,Feliciano Pellicer Azorin,Abogado
95,2022-12-18,Domingo Avilés-Medina,Cliente
96,2025-05-08,Cintia Valero Cárdenas,Cliente
97,2022-11-08,Domitila Mármol Quiroga,Cliente
98,2023-12-29,Rosa María Coloma,Abogado
99,2023-02-07,Josué León Peralta,Abogado
100,2023-06-10,Clara Sanchez-Ugarte,Testigo
101,2024-02-11,Rubén Figueroa Cadenas,Abogado
102,2022-02-03,María Jesús Pedraza,Abogado
103,2023-02-09,Flora Bello,Testigo
104,2022-11-28,Marciano Goyo Bermúdez Giralt,Abogado
105,2022-06-07,Máxima Baena-Esparza,Testigo
106,2023-09-12,Sandalio Belmonte Fuster,Testigo
107,2022-03-10,Mireia Uriarte Gallo,Testigo
108,2020-08-31,María Fernanda Vaquero Ávila,Testigo
109,2022-12-07,Adelardo Ugarte Feliu,Cliente
110,2023-12-22,Adalberto de Vega,Cliente
111,2024-10-10,Petrona Nereida Aramburu Benito,Testigo
112,2021-09-17,Gervasio Loreto Folch Marqués,Testigo
113,2021-10-11,Samanta Mata Raya,Testigo
114,2024-12-24,Ángeles Camila Pellicer Boix,Testigo
115,2023-10-04,Jesús Bernal-Cuéllar,Abogado
116,2023-02-04,Remigio Agustí,Testigo
117,2023-01-07,Fabricio del Cárdenas,Cliente
