ID Cliente,Nombre,Edad,Género,Domicilio,Teléfono,Email,Puesto,Estado Civil,Antigüedad (años)
1,Jesusa Falcó,57,Femenino,"Pasadizo Benigno Falcó 479
Lugo, 47637",+34879 807 745,clarisa41@example.org,Conductor de camiones pesados,Casado,33
2,Jose Carlos Guillén,57,Masculino,"Acceso Constanza Fajardo 49 Apt. 97 
Cuenca, 19738",+34974 127 632,herminiazabaleta@example.net,Profesional de la publicidad y la comercialización,Casado,5
3,José Luis Guerra,29,Masculino,"Calle Atilio Orozco 5
Ceuta, 33895",+34827548792,yboix@example.com,Reparador de bicicletas,Casado,10
4,Berto Amor,61,Masculino,"Cuesta de Reynaldo Fuster 43
Jaén, 51748",+34849545081,barcenaloreto@example.com,Recolector de basura y material reciclable,Soltero,15
5,Nieves Agustín,51,Femenino,"Via Héctor Ortiz 160 Piso 9 
Soria, 27788",+34 883 873 788,mateolastra@example.com,Limpiador y asistente doméstico,Divorciado,33
6,Lina Valderrama,38,Femenino,"Alameda Adora Barrena 9
Barcelona, 48496",+34820 006 938,hvillanueva@example.net,Agente de compras,Casado,10
7,Cleto Castilla,33,Masculino,"Cuesta Lilia Vilaplana 37 Apt. 93 
Las Palmas, 50785",+34 980 16 69 25,sandaliolloret@example.net,Agente de servicios de expedición de licencias y permisos,Viudo,9
8,Tiburcio Galan,29,Masculino,"Pasaje de Amado Andrés 85
Jaén, 18932",+34 828 592 289,murilloamarilis@example.org,Soldador y oxicortador,Viudo,0
9,Lucila Benavent,61,Femenino,"Callejón Epifanio Castillo 7 Apt. 22 
Madrid, 22663",+34 972390024,jonatan37@example.net,Técnico en química industrial,Soltero,6
10,Jovita Madrid,57,Femenino,"Rambla Herberto Olivé 4 Apt. 40 
Santa Cruz de Tenerife, 15174",+34 882067775,roquesalvador@example.com,Diseñador de interior,Casado,16
11,Brígida Amador,29,Femenino,"Paseo Abraham Bello 96 Piso 8 
Cádiz, 13858",+34709 897 688,ubertran@example.org,Técnico en electrónica,Divorciado,3
12,Heraclio Heras,53,Masculino,"Vial de Vicente Parejo 1
Almería, 50146",+34 927 19 21 50,lsaez@example.org,"Gerente de centros deportivos, de esparcimiento y culturales",Divorciado,34
13,Rocío Esteban,66,Femenino,"Cuesta de Felipa Valenzuela 993 Piso 7 
Cuenca, 39805",+34 977 842 215,noa53@example.net,Artista plástico,Soltero,33
14,María Cristina Batlle,60,Femenino,"Urbanización de Francisco Jose Flores 13
Málaga, 07380",+34 974408666,robertabayona@example.org,Instalador de material aislante y de insonorización,Soltero,19
15,Octavia Mascaró,33,Femenino,"Callejón de Eutimio Donaire 263 Piso 2 
Soria, 48750",+34941 20 09 79,aureliano13@example.org,Director de producción agropecuaria y silvicultura,Soltero,8
16,Jenny Dávila,60,Femenino,"Urbanización de Victor Manuel Prado 8 Piso 3 
Valencia, 42654",+34873 777 061,alfonso72@example.org,Sericultor,Divorciado,9
17,Anastasio Batlle,38,Masculino,"Cuesta Daniela Sarmiento 583
Las Palmas, 09127",+34871 72 29 73,amorrosa@example.org,Mampostero,Casado,10
18,Florentina Pintor,41,Femenino,"Cañada Vera Camps 74
Toledo, 43943",+34 928248147,aurelio38@example.net,Actuario,Viudo,16
19,Jose Miguel Olmo,28,Masculino,"Cuesta de Rosalinda Uriarte 91 Puerta 3 
Barcelona, 36986",+34 948 561 738,monicaolive@example.net,Regulador y operador de máquinas y herramientas,Viudo,1
20,Reyna Ricart,27,Femenino,"Paseo de Sandalio Robledo 64
Madrid, 01871",+34977 012 865,usantamaria@example.net,Diseñador gráfico,Divorciado,0
21,Evelia Benavent,65,Femenino,"Camino Xiomara Mayo 51 Apt. 16 
Málaga, 20430",+34 920 056 037,flaviolobato@example.net,Trabajador forestal calificado,Casado,16
22,Ainara Amo,60,Femenino,"Vial Laura Jimenez 73
Salamanca, 40222",+34 984502786,icastillo@example.org,Profesional de ventas técnicas y médicas,Soltero,27
23,Desiderio Bonilla,69,Masculino,"Ronda de Isidoro Crespi 414
Zamora, 36516",+34915143946,crespigisela@example.net,Reponedor de estanterías,Soltero,9
24,Eufemia Talavera,62,Femenino,"Vial Roberta Llanos 64
Málaga, 23886",+34986 111 281,benignoperez@example.com,Agente de maniobras,Casado,35
25,Godofredo Soler,27,Masculino,"Glorieta Delia Bejarano 7 Piso 7 
Toledo, 14586",+34843 58 12 05,ricodionisia@example.org,Clasificador de productos,Divorciado,4
26,Zoraida Céspedes,27,Femenino,"Via Florentina Huerta 73
Córdoba, 15309",+34 825 77 29 17,germantomas@example.com,Matemático,Casado,5
27,Fortunata Albero,67,Femenino,"Urbanización de María Cristina Sánchez 16
Cádiz, 11283",+34822 60 22 43,alcaldeanna@example.net,Administrador de sistemas,Divorciado,6
28,Ruth Molina,51,Femenino,"Ronda de Octavio Ríos 43
Zaragoza, 37955",+34820310170,eustaquiomulet@example.com,Operador de máquinas de procesamiento de texto y mecanógrafos,Casado,9
29,Gisela Arranz,36,Femenino,"C. de Fernando Bernat 8
Guadalajara, 06912",+34877 77 15 62,evabarcena@example.org,Peón de minas y canteras,Soltero,13
30,Abraham Crespi,46,Masculino,"Glorieta de Mateo Goicoechea 857
Navarra, 25618",+34 973 18 49 12,pili57@example.org,Optometrista,Viudo,25
31,Amparo Pino,40,Femenino,"Glorieta de Pelayo Trujillo 43
Guipúzcoa, 20297",+34866807481,santamarialorena@example.com,Profesional del trabajo social,Casado,8
32,Natalia Lledó,31,Femenino,"Rambla de Verónica Marcos 711
Guadalajara, 29188",+34 803 80 23 86,luzbarrena@example.net,Recepcionista,Soltero,6
33,Eusebia Verdú,39,Femenino,"Pasadizo Soraya Tejera 71
Zamora, 01176",+34 926288409,ricartjulian@example.com,Fotógrafo,Viudo,6
34,Mario Gascón,39,Masculino,"Plaza de Bartolomé Mateu 63
Baleares, 10815",+34825938789,anselmorosell@example.com,Supervisor en ingeniería de minas,Soltero,7
35,Flavia Olivé,50,Femenino,"Cuesta de Leonor Lobo 437 Apt. 73 
Asturias, 46810",+34 901272034,planasurbano@example.com,Desarrollador Web y multimedia,Divorciado,21
36,Adriana Estrada,42,Femenino,"Camino de Vanesa Contreras 99 Puerta 2 
Albacete, 03478",+34886214714,vanesa87@example.org,Lavandero,Viudo,11
37,Vanesa Armengol,59,Femenino,"Avenida de Guiomar Mur 29 Apt. 40 
Baleares, 51775",+34823 978 177,lilia03@example.org,Nutricionista,Soltero,21
38,Jafet Cañizares,41,Masculino,"Avenida Gisela Lopez 8 Piso 6 
Guipúzcoa, 44600",+34942 33 70 75,jafet63@example.net,Abogado,Divorciado,5
39,Andrés Guzmán,63,Masculino,"Cuesta Anabel Blazquez 43 Puerta 4 
Soria, 43244",+34 709 47 72 23,gonzalezedgardo@example.net,Operador de máquinas de procesamiento de texto y mecanógrafos,Divorciado,27
40,Bernarda Saavedra,45,Femenino,"Callejón Marcia Lucena 413 Puerta 5 
Lleida, 02027",+34 826088112,dcalderon@example.net,Actuario,Soltero,13
41,Camilo Sanmiguel,61,Masculino,"Alameda de José Manuel Gallego 11 Piso 8 
Tarragona, 35822",+34619 472 414,riquelmeflorencio@example.net,Artista plástico,Divorciado,12
42,Teodosio Gimeno,52,Masculino,"Acceso de Jessica Bastida 83
Santa Cruz de Tenerife, 09608",+34 979 65 13 38,arenasvenceslas@example.net,Operador de máquinas de movimiento de tierras,Casado,0
43,Esteban Molins,29,Masculino,"Vial Mario Hernández 8
La Coruña, 36950",+34916199435,kpenalver@example.net,Supervisor en ingeniería de minas,Divorciado,10
44,Carmela Domingo,67,Femenino,"Acceso Edu Jara 64 Apt. 04 
Granada, 04384",+34 732 110 997,balaguerantonia@example.net,Operador de autoelevadoras,Divorciado,7
45,Eli Arévalo,67,Femenino,"Alameda de Eugenia Bermejo 6 Piso 3 
La Coruña, 24700",+34873554008,dyuste@example.org,Gerente de comercios al por mayor y al por menor,Divorciado,26
46,Nando Solé,43,Masculino,"Calle Emma Aguilera 158 Apt. 34 
Tarragona, 40028",+34 823828347,albertbaron@example.net,Ingeniero de minas,Casado,17
47,César Jerez,67,Masculino,"Rambla de Lorena Azorin 772 Puerta 3 
Asturias, 35273",+34 708 746 455,nperez@example.org,Instructor de autoescuela,Casado,24
48,Alondra Franco,44,Femenino,"Via de Cebrián Egea 994 Piso 7 
Palencia, 19204",+34988605353,jafetguillen@example.org,Laminador de vidrio,Soltero,12
49,Bruno Campos,38,Masculino,"Pasadizo Victor Manuel Morán 36
Murcia, 01141",+34 841977433,dbustamante@example.net,Personal de pompas fúnebres y embalsamador,Divorciado,13
50,Agapito Olivares,53,Masculino,"Callejón de Iker Niño 805
La Rioja, 25577",+34 988 987 483,federico13@example.com,"Director de empresas de abastecimiento, distribución y afines",Viudo,13
51,Zaida Caparrós,35,Femenino,"Urbanización Jessica Quintero 3
Palencia, 18602",+34707895274,bcampillo@example.com,Profesional de nivel medio de servicios estadísticos o matemáticos,Divorciado,2
52,Flavia Estevez,65,Femenino,"Cuesta Federico Almagro 760
Toledo, 27982",+34 926 851 155,dieguezjuanita@example.org,Instalador de material aislante y de insonorización,Divorciado,39
53,Gustavo Carreras,40,Masculino,"C. Carmen Carrera 78 Apt. 32 
Ciudad, 16034",+34821 07 16 99,anunciacion88@example.net,Actor,Divorciado,21
54,Heliodoro Varela,37,Masculino,"Acceso Cruz Tovar 7
Córdoba, 40824",+34883 42 03 49,tomasjenny@example.net,Organizador de conferencias y eventos,Soltero,4
55,Chuy Duarte,55,Masculino,"Pasadizo de Oriana Sanmartín 62
Ourense, 09927",+34 843 822 406,namat@example.com,Técnico en optometría y ópticos,Viudo,4
56,Román Miguel,65,Masculino,"Calle de Isidoro Cerro 9 Apt. 72 
Lleida, 12528",+34 824 428 416,sebastiantecla@example.org,Pulidor de metales y afilador de herramientas,Casado,36
57,Fanny Ortuño,49,Femenino,"Pasadizo de Noa Peiró 127 Puerta 9 
Álava, 25165",+34 980 25 58 82,ccarbajo@example.net,Reponedor de estanterías,Viudo,31
58,Miguel Artigas,66,Masculino,"Rambla de Tamara Losada 33 Puerta 3 
Cádiz, 33842",+34 946 54 41 11,vito33@example.org,Trabajador forestal calificado,Soltero,44
59,Luna Catalán,31,Femenino,"Paseo Nadia Pavón 41 Apt. 31 
Badajoz, 37794",+34880 791 238,julieta52@example.net,Operador de máquinas de vapor y calderas,Viudo,12
60,Chuy Costa,69,Masculino,"Via Sergio Acosta 453 Puerta 5 
La Coruña, 31496",+34987 99 74 85,federicoverdu@example.net,Director de empresas de construcción,Viudo,33
